PoreSizeDistribution_geometric_WtAvg_x,MUKEY,ksat_r_WtAvg,Ks_WtAvg,dbthirdbar_r_WtAvg,dbfifteenbar_r_WtAvg,ResidualWaterContent_WtAvg,Porosity_WtAvg,EffectivePorosity_WtAvg,BubblingPressure_Geometric_WtAvg,PoreSizeDistribution_geometric_WtAvg_y,AvaWaterCon,HydroGrp
0.127525,658420,7.26887,0.00252975,0.637369565217,,0.0123,0.21385,0.202025,76.71,0.127525,0,D
0.210846022032,658421,16.3541344186,0.00534143206854,0.945348837209,,0.0258106487148,0.265002080783,0.240140636475,89.3914810282,0.210846022032,0,B
0.213625,658429,14.749465,0.00456075,1.035,,0.0159,0.36175,0.345725,130.035,0.213625,0,D
0.201026703112,658437,4.99091273146,0.00237169450651,1.1546668002,,0.0368534951903,0.40679556572,0.369264430973,186.390234501,0.201026703112,0,B
0.0329173872369,658440,1.91431758804,0.000640378617183,0.170177896341,,0.00512409622452,0.0546577948547,0.0494900167056,26.489996993,0.0329173872369,0,D
0.3108,658470,33.8744,0.009175,1.2625,,0.0307,0.3568,0.3271,96.385,0.3108,0,A
0.1516,658471,9.880025,0.004343,0.58,,0.0155,0.1788,0.1639,49.685,0.1516,0,C
0.191807772021,658472,6.32429544041,0.00329212020725,0.951968911917,,0.0351663212435,0.316489119171,0.282630051813,138.465336788,0.191807772021,0,B
0.1346,658476,10.7120358421,0.004602,0.457768421053,,0.0108,0.1319,0.121,29.055,0.1346,0,B
0.411883114035,659480,26.2711056743,0.0241096698465,1.45836348684,,0.0363057565789,0.450485197368,0.415830975877,133.911222588,0.411883114035,0,A
0.170632344406,659481,7.83345,0.00339622588797,0.820589477075,,0.0182907276672,0.280976045464,0.263003443396,109.532975208,0.170632344406,0,D
0.186912709552,659482,2.29885187524,0.00217483239766,1.17514288499,,0.0334933138402,0.401888011696,0.368639278752,200.844152047,0.186912709552,0,B
0.202969147925,659506,8.13324221596,0.00274512125223,1.23357998721,,0.0539939347358,0.431560188377,0.402215844032,202.531067904,0.202969147925,0,D
0.253568503099,659507,9.1342880888,0.00374498706588,1.40052346999,,0.0371920383453,0.463955423395,0.427600056614,209.081626185,0.253568503099,0,B
0.16180263601,659520,2.82991125452,0.0011518705448,0.912236906939,,0.0358767390531,0.308385981154,0.272604486691,178.440295845,0.16180263601,0,C
0.237854945193,659531,6.61966577845,0.00323051457992,1.35447410866,,0.0372855962055,0.436969468822,0.400512540096,204.19933407,0.237854945193,0,B
0.101672727273,659553,0.715319090909,0.000278627275,0.856590909091,,0.0333863636364,0.307031818182,0.272822727273,207.292272727,0.101672727273,0,D
0.26191827957,659738,13.69088,0.0105856860215,1.38811827957,,0.0291840501792,0.473903225806,0.444406451613,223.200716846,0.26191827957,0,B
0.215036616745,659741,6.95546329461,0.00577311261239,1.05735259048,,0.0235580136148,0.351160685785,0.328642192934,133.582773733,0.215036616745,0,D
0.153960754304,659743,2.39859930323,0.00126532011383,1.18472733777,,0.0527602249667,0.424159955364,0.370998879881,282.603302957,0.153960754304,0,D
0.18372964924,659745,6.7037753589,0.002740405648,0.889098004776,,0.0748757643019,0.391025987052,0.350381204511,235.698161004,0.18372964924,0,D
0.261884615385,659756,19.4234907692,0.00786757692308,0.907884615385,,0.0279192307692,0.28025,0.252219230769,89.3026923077,0.261884615385,0,D
0.274413829787,659757,14.82002,0.00544970212766,1.342,,0.0294946808511,0.44645212766,0.41855106383,157.764787234,0.274413829787,0,B
0.244993510836,659758,15.7134429085,0.00459832772633,1.44285454756,,0.0409084739547,0.454478566181,0.413343102252,235.690159337,0.244993510836,0,B
0.228074068556,661635,9.40121352171,0.00339066979349,1.14974222183,,0.0589398274836,0.472213922625,0.436111880774,214.257537127,0.228074068556,0,B
0.298262522795,661648,29.0752790304,0.0156204665141,1.33699025746,,0.0531259169927,0.417360621196,0.387749151501,145.143212302,0.298262522795,0,B
0.19501806112,661668,6.40212584301,0.00188354433634,1.32979653419,,0.117960655959,0.480893476302,0.439919331598,234.795077495,0.19501806112,0,C
0.212509032659,661673,2.3886530749,0.00274277144386,1.29933979757,,0.0390146024291,0.46567623691,0.425586960594,156.826939703,0.212509032659,0,C
0.216599637388,661683,4.69241142594,0.00288554403067,1.35484793305,,0.0296623823853,0.477744301628,0.451277588148,165.43244706,0.216599637388,0,B
0.255572039752,661691,14.7952157728,0.00656455151909,1.47130753719,,0.0265250528608,0.472338303664,0.445613486322,151.703024645,0.255572039752,0,B
0.296138564688,661693,41.1983711806,0.0118460039979,1.5247712369,,0.0268540331909,0.466360429226,0.439588452007,141.785655887,0.296138564688,0,B
0.172798068897,661701,5.30690655622,0.00217306210723,1.2198893185,,0.0439738382544,0.396309712004,0.352629739871,214.717716592,0.172798068897,0,C
0.119310536541,661703,12.7554517405,0.00264580499889,0.643608487931,,0.0196673927544,0.262870298078,0.243348234043,127.72786501,0.119310536541,0,B
0.207385185762,661832,7.95794395267,0.00352704554498,0.944362542298,,0.0230057789439,0.388978091065,0.366559988277,152.179086356,0.207385185762,0,B
0.194533898254,662025,1.59914985271,0.00149810155472,1.49179591015,,0.0408329143885,0.469685145559,0.428037132557,239.93803367,0.194533898254,0,B
0.236411063105,662036,5.13796959685,0.00339331047187,1.38671086597,,0.0287077948656,0.475259639892,0.446788517274,191.263847375,0.236411063105,0,B
0.218761611459,662037,4.26968967405,0.00270740491231,1.22402733171,,0.0230287830248,0.483955746644,0.460462488788,178.618994709,0.218761611459,0,B
